date,india_retail_mobility,india_grocery_mobility,india_transit_mobility,india_workplace_mobility,india_residential_mobility,delhi_retail_mobility,wb_retail_mobility,mh_retail_mobility,tn_retail_mobility,dl_workplace_mobility,wb_workplace_mobility,mh_workplace_mobility,tn_workplace_mobility,dl_transit_mobility,wb_transit_mobility,mh_transit_mobility,tn_transit_mobility
2020-09-09,-44.57142857142857,-4.142857142857143,-31.428571428571427,-24.142857142857142,11.857142857142858,-45.142857142857146,-49.57142857142857,-54.42857142857143,-42.142857142857146,-37.0,-22.142857142857142,-38.0,-24.0,-43.714285714285715,-38.142857142857146,-44.142857142857146,-26.857142857142858
2020-09-10,-44.42857142857143,-4.0,-31.0,-24.142857142857142,11.714285714285714,-45.0,-48.857142857142854,-54.285714285714285,-42.0,-37.0,-21.857142857142858,-38.142857142857146,-24.0,-43.142857142857146,-36.857142857142854,-44.0,-26.285714285714285
2020-09-11,-44.42857142857143,-5.142857142857143,-31.428571428571427,-24.571428571428573,11.857142857142858,-44.57142857142857,-52.57142857142857,-54.285714285714285,-41.42857142857143,-37.0,-27.428571428571427,-38.285714285714285,-23.857142857142858,-42.714285714285715,-42.142857142857146,-44.285714285714285,-25.857142857142858
2020-09-12,-43.857142857142854,-5.285714285714286,-31.428571428571427,-25.285714285714285,12.0,-43.857142857142854,-51.714285714285715,-54.0,-41.0,-37.42857142857143,-28.142857142857142,-38.714285714285715,-24.428571428571427,-42.42857142857143,-42.57142857142857,-44.42857142857143,-25.428571428571427
2020-09-13,-43.142857142857146,-5.142857142857143,-31.142857142857142,-25.0,12.0,-43.714285714285715,-50.857142857142854,-53.57142857142857,-40.57142857142857,-37.285714285714285,-28.428571428571427,-38.714285714285715,-24.142857142857142,-42.285714285714285,-42.857142857142854,-44.42857142857143,-24.428571428571427
2020-09-14,-42.42857142857143,-4.857142857142857,-30.714285714285715,-24.428571428571427,12.0,-43.285714285714285,-44.714285714285715,-53.285714285714285,-40.0,-36.857142857142854,-22.714285714285715,-38.285714285714285,-24.0,-42.142857142857146,-37.142857142857146,-44.42857142857143,-23.857142857142858
2020-09-15,-42.0,-5.428571428571429,-30.857142857142858,-24.285714285714285,12.285714285714286,-43.0,-44.0,-53.142857142857146,-39.42857142857143,-36.42857142857143,-22.714285714285715,-38.0,-23.857142857142858,-41.857142857142854,-37.714285714285715,-44.57142857142857,-23.714285714285715
2020-09-16,-41.285714285714285,-5.285714285714286,-30.714285714285715,-24.142857142857142,12.428571428571429,-42.57142857142857,-42.714285714285715,-52.714285714285715,-38.42857142857143,-36.142857142857146,-22.571428571428573,-37.857142857142854,-23.857142857142858,-41.57142857142857,-37.285714285714285,-44.57142857142857,-23.0
2020-09-17,-40.714285714285715,-6.285714285714286,-31.285714285714285,-24.428571428571427,12.857142857142858,-42.142857142857146,-42.57142857142857,-52.42857142857143,-38.0,-36.0,-24.857142857142858,-37.857142857142854,-23.857142857142858,-41.714285714285715,-39.57142857142857,-45.0,-23.285714285714285
2020-09-18,-40.0,-5.571428571428571,-30.857142857142858,-23.857142857142858,13.0,-41.857142857142854,-37.714285714285715,-52.0,-38.0,-35.714285714285715,-19.428571428571427,-37.57142857142857,-23.571428571428573,-41.42857142857143,-34.714285714285715,-44.857142857142854,-23.571428571428573
2020-09-19,-39.714285714285715,-5.714285714285714,-30.714285714285715,-23.0,13.142857142857142,-41.57142857142857,-37.285714285714285,-52.0,-38.142857142857146,-34.857142857142854,-18.714285714285715,-37.0,-22.857142857142858,-40.857142857142854,-34.42857142857143,-44.857142857142854,-23.714285714285715
2020-09-20,-39.42857142857143,-5.714285714285714,-30.714285714285715,-22.571428571428573,13.285714285714286,-41.285714285714285,-37.285714285714285,-51.857142857142854,-37.714285714285715,-34.285714285714285,-19.142857142857142,-36.714285714285715,-22.142857142857142,-40.57142857142857,-35.0,-44.714285714285715,-23.857142857142858
