Date,WTI
2020-05-19,32.068
2020-05-18,31.718
2020-05-15,29.466
2020-05-14,27.624
2020-05-13,25.29
2020-05-12,25.78
2020-05-11,24.14
2020-05-08,24.74
2020-05-07,23.55
2020-05-06,23.99
2020-05-05,24.56
2020-05-04,20.39
2020-05-01,19.78
2020-04-30,18.84
2020-04-29,15.06
2020-04-28,12.34
2020-04-27,12.78
2020-04-24,16.94
2020-04-23,16.5
2020-04-22,13.78
2020-04-21,11.258
2020-04-17,20.974
2020-04-16,21.002
2020-04-15,19.87
2020-04-14,20.11
2020-04-13,22.41
2020-04-09,22.76
2020-04-08,25.09
2020-04-07,23.63
2020-04-06,26.08
2020-04-03,28.34
2020-04-02,25.32
2020-04-01,20.31
2020-03-31,20.48
2020-03-30,20.09
2020-03-27,21.51
2020-03-26,22.6
2020-03-25,24.49
2020-03-24,24.01
2020-03-23,23.36
2020-03-20,22.59
2020-03-19,25.634
2020-03-18,20.554
2020-03-17,27.026
2020-03-16,28.7
2020-03-13,31.73
2020-03-12,31.5
2020-03-11,32.98
2020-03-10,34.36
2020-03-09,31.13
2020-03-06,41.28
2020-03-05,45.9
2020-03-04,46.78
2020-03-03,47.18
2020-03-02,46.75
2020-02-28,44.76
2020-02-27,47.09
2020-02-26,48.73
2020-02-25,49.9
2020-02-24,51.43
2020-02-21,53.36
2020-02-20,53.77
2020-02-19,53.31
2020-02-18,52.1
2020-02-14,52.03
2020-02-13,51.41
2020-02-12,51.13
2020-02-11,50.0
2020-02-10,49.59
2020-02-07,50.34
2020-02-06,50.94
2020-02-05,50.87
2020-02-04,49.59
2020-02-03,50.06
